Full name,Example
MigsOrgHostAssociatedAncient,Ancient animal mitochondrial genome from a skeleton
MigsOrgHumanAssociatedAncient,Ancient human mitochondrial genome from a skeleton
MiuvigHostAssociatedAncient,Ancient animal-derived virus genome from a skeleton
MiuvigHumanAssociatedAncient,Ancient human-derived virus genome from a skeleton
MimagHostAssociatedAncient,Ancient animal-derived metagenome-(de novo) assembled genome (MAG) from a tooth
MimagHumanAssociatedAncient,General human-derived metagenome-(de novo) assembled genome (MAG) from a tooth
MimagHumanOralAncient,Ancient human dental calculus-derived metagenome-(de novo) assembled genome (MAG)
MimagHumanGutAncient,Human palaeofaeces-derived metagenome-(de novo) assembled genome (MAG)
MimagHumanSkinAncient,Human mummy skin-derived metagenome-(de novo) assembled genome (MAG)
MimagSedimentAncient,Ancient sediment-derived metagenome-(de novo) assembled genome (MAG)
MimagSoilAncient,Ancient soil-derived metagenome-(de novo) assembled genome (MAG)
MimsHostAssociatedAncient,General skeleton-derived ancient DNA short-read sequences
MimsHumanAssociatedAncient,Human skeleton-derived ancient DNA short-read sequences
MimsHumanOralAncient,Human dental calculus-derived ancient DNA short-read sequences
MimsHumanGutAncient,Human palaeofaeces-derived ancient DNA short-read sequences
MimsHumanSkinAncient,Human mummy skin-derived ancient DNA short-read sequences
MimsSedimentAncient,Sediment-derived ancient DNA short-read sequences
MimsSoilAncient,Soil-derived ancient DNA short-read sequences
MimsPlantAssociatedAncient,Plant-derived ancient DNA short-read sequences
MimsSymbiontAssociatedAncient,Parasite-derived ancient DNA short-read sequences
