Structured comment name,Item (rdfs:label),Definition,Expected value,Value syntax,Example,Section,minas,Preferred unit,Occurence,MIXS ID,Modification Suggestion,Requires Further Discussion,Reason for further discussion
cultural_era,NA,"The cultural era approximating the period in which the individual lived from https://chronontology.dainst.org/ or PeriodO. Specify when no value for 'sample_age' is present, or additionally to it.",Chronotology or PeriodO term; text,{termLabel} {[termID]}|{text},Copper Age [Chronotology: NW6hofAScJSE],investigation,X,NA,m,MIXS:XXXXXXX,Question: switch to free-text? Conditional to sample_age,Y,NA
dna_extraction_date,NA,"The date when the nucleic acids was extracted from the sample material. In case no exact time is available, the date can be right truncated i.e. all of these are valid times: 2008-01-23T19:23:10+00:00; 2008-01-23T19:23:10; 2008-01-23; 2008-01; 2008; Except: 2008-01; 2008 all are ISO8601 compliant",date,{timestamp},2015,nucleic acid sequence source,M,year,1,MIXS:XXXXXXX,None,N,NA
recovery_date,NA,"Date of excavation or retrieval from burial or depositional context, if known",date,{timestamp},1930,investigation,X,date,1,MIXS:XXXXXXX,None,N,NA
sample_age,NA,"The approximate date that individual was living and then died, or the sample was exposed to the  surface. Typically inferred from archaeological material, or biological material associated with a sediment, with radiocarbon dating and other chronometric methods. Should be midpoint of calibrated radiocarbon age.",value from BP (1950),{integer},123440,investigation,X,cal BP,m,MIXS:XXXXXXX,None,N,NA
sample_age_inference_methods,NA,"The method used to infer the sample age. Method (14C, OLS, etc.) and associated information (lab code, etc). An enumerated list with age/depths model, corralative (relative dating), annual lamination, pollen records, diatom records, physical observation, etc.",enumeration,???,C14,investigation,X,NA,m,MIXS:XXXXXXX,None,Y,"[JAFY/MS] How to define, very heterogenous, maybe split: method/lab code"
site_type,NA,"The type of site the sediment cores where taken. E.g. ocean, marine, freshwater, brackish, ice caves, caves.",text,{text},cave,environment,E,NA,1,MIXS:XXXXXXX,None,Y,[JAFY] can this be expanded to non-seidment like sites? Open air burials? Is there an overlap here with env_*_scale? Otherwise I think this would go to the environmental_packages
damage_treatment,NA,Indication of whether characteristic ancient DNA damage has been removed in a laboratory,enumeration,[none|partial-udg|full-udg|enriched|other],none,sequencing,M,NA,1,MIXS:XXXXXXX,None,N,[JAFY] what if people upload BAMs of merged multiple libraries
experimental_procedures,NA,Provide a DOI to refer to the paper where the procedure is explained in more details,"PMID, DOI or URL",{PMID}|{DOI}|{URL},NA,sequencing,X,NA,1,MIXS:XXXXXXX,None,Y,"[JAFY] What procedures does this refer to? Each paper will have many protocols to cite for extraction, library construction, reconditioning, etc. Duplicate of SOP?"
lib_concentration,NA,"Concentration of library in copies per µl, as inferred by qPCR.",integer,{integer},123000000,sequencing,X,copies/µl,1,MIXS:XXXXXXX,None,N,NA
lib_index_polymerase,NA,The name of polymerase enzyme used to index DNA libraries,text,{text},Agilent PfuTurbo Cx HotStart,sequencing,X,NA,1,MIXS:XXXXXXX,None,Y,[JAFY] Condition on what? And would including the SKU be useful to include too (as it's a more stable code)
lib_preparation_protocol,NA,Citation(s) for the DNA library preparation protocol,text,{text},"Meyer and Kircher, 2010",sequencing,X,NA,1,MIXS:XXXXXXX,None,Y,[JAFY] Condition on what?
lib_reamplification_polymerase,NA,The name of polymerase enzyme used for reamplifying DNA libraries,text,{text},KAPA HiFi HotStart Uracil+,sequencing,X,NA,1,MIXS:XXXXXXX,None,Y,[JAFY] Condition on what?
